Date,Time,Description,Link,Ticker,Is New,Attachments
26/12/2024,10:48,انتهاء اجراءات شركة مصرف الاقتصاد للاستثمار والتمويل,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15783&type=1,BEFI,false,/isxportal/files/story0_124_12_4_10_48_5.pdf|story0_124_12_4_10_48_5.pdf|true;/isxportal/files/story0_124_12_4_10_48_5.pdf|story0_124_12_4_10_48_5.pdf|true
26/12/2024,07:31,افصاح- قدمت شركة الصناعات الالكترونية البيانات المالية الفصلية للفصل الثالث لعام 2024,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15782&type=1,IELI,false,/isxportal/files/story0_124_12_4_7_31_13.pdf|story0_124_12_4_7_31_13.pdf|true;/isxportal/files/story0_124_12_4_7_31_13.pdf|story0_124_12_4_7_31_13.pdf|true
24/12/2024,11:16,شركة المعمورة للاستثمارات العقارية - افصاح عن احداث جوهرية,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15779&type=1,SMRI,false,/isxportal/files/story0_124_12_2_11_16_0.pdf|story0_124_12_2_11_16_0.pdf|true;/isxportal/files/story0_124_12_2_11_16_0.pdf|story0_124_12_2_11_16_0.pdf|true
24/12/2024,10:36,الى الشركات المساهمة المدرجة في سوق العراق للاوراق المالية - اعمام,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15778,,false,/isxportal/files/story0_124_12_2_10_36_22.pdf|story0_124_12_2_10_36_22.pdf|true;/isxportal/files/story0_124_12_2_10_36_22.pdf|story0_124_12_2_10_36_22.pdf|true
24/12/2024,06:24,تغيير موعد اجتماع الهيئة العامة لشركة المصرف المتحد للاستثمار في يوم الاحد الموافق 2025/1/26,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15777,BUND,false,/isxportal/files/story0_124_12_2_6_24_16.pdf|story0_124_12_2_6_24_16.pdf|true;/isxportal/files/story0_124_12_2_6_24_16.pdf|story0_124_12_2_6_24_16.pdf|true;/isxportal/files/story1_124_12_2_6_24_16.pdf|story1_124_12_2_6_24_16.pdf|true;/isxportal/files/story1_124_12_2_6_24_16.pdf|story1_124_12_2_6_24_16.pdf|true
24/12/2024,05:15,محضر إجتماع الهيئة العامة المصدق لشركة مصرف الثقة الدولي الاسلامي المنعقد بتاريخ 2024/11/5,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15776&type=1,BTRU,false,/isxportal/files/story0_124_12_2_5_15_32.pdf|story0_124_12_2_5_15_32.pdf|true;/isxportal/files/story0_124_12_2_5_15_32.pdf|story0_124_12_2_5_15_32.pdf|true
23/12/2024,11:30,سيتم إطلاق التداول على أسهم شركة بغداد العراق للنقل العام في جلسة الثلاثاء الموافق 2024/12/24,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15775,SBPT,false,/isxportal/files/story0_124_12_1_13_57_36.pdf|story0_124_12_1_13_57_36.pdf|true;/isxportal/files/story0_124_12_1_13_57_36.pdf|story0_124_12_1_13_57_36.pdf|true;/isxportal/files/story1_124_12_1_13_57_36.pdf|story1_124_12_1_13_57_36.pdf|true;/isxportal/files/story1_124_12_1_13_57_36.pdf|story1_124_12_1_13_57_36.pdf|true
23/12/2024,11:27,سيتم إطلاق التداول على أسهم شركة بغداد لصناعة مواد التغليف في جلسة الثلاثاء الموافق 2024/12/24,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15774,IBPM,false,/isxportal/files/story0_124_12_1_11_27_25.pdf|story0_124_12_1_11_27_25.pdf|true;/isxportal/files/story0_124_12_1_11_27_25.pdf|story0_124_12_1_11_27_25.pdf|true;/isxportal/files/story1_124_12_1_11_27_25.pdf|story1_124_12_1_11_27_25.pdf|true;/isxportal/files/story1_124_12_1_11_27_25.pdf|story1_124_12_1_11_27_25.pdf|true
23/12/2024,11:22,اعلان- الشركة العراقية للسجاد والمفروشات - ايقاف توزيع الارباح للمساهمين,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15773&type=1,IITC,false,/isxportal/files/story0_124_12_1_11_22_17.pdf|story0_124_12_1_11_22_17.pdf|true;/isxportal/files/story0_124_12_1_11_22_17.pdf|story0_124_12_1_11_22_17.pdf|true
23/12/2024,11:20,كتاب سوق العراق للاوراق المالية إلى شركة مصرف الاستثمار العراقي بشأن الافصاح عن الاحداث الجوهرية,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15772,BIBI,false,/isxportal/files/story0_124_12_1_11_20_8.pdf|story0_124_12_1_11_20_8.pdf|true;/isxportal/files/story0_124_12_1_11_20_8.pdf|story0_124_12_1_11_20_8.pdf|true
23/12/2024,10:28,تنفيذ أمر خاص على أسهم شركة مصرف عبر العراق للاستثمارفي جلسة الاثنين الموافق 2024/12/23,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15771,BTRI,false,/isxportal/files/story0_124_12_1_10_28_27.pdf|story0_124_12_1_10_28_27.pdf|true;/isxportal/files/story0_124_12_1_10_28_27.pdf|story0_124_12_1_10_28_27.pdf|true;/isxportal/files/story1_124_12_1_10_28_27.pdf|story1_124_12_1_10_28_27.pdf|true;/isxportal/files/story1_124_12_1_10_28_27.pdf|story1_124_12_1_10_28_27.pdf|true
23/12/2024,08:40,سيعقد إجتماع الهيئة العامة لشركة مصرف الخليج التجاري في يوم الثلاثاء الموافق 2025/1/7,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15770,BGUC,false,/isxportal/files/story0_124_12_1_8_40_17.pdf|story0_124_12_1_8_40_17.pdf|true;/isxportal/files/story0_124_12_1_8_40_17.pdf|story0_124_12_1_8_40_17.pdf|true;/isxportal/files/story1_124_12_1_8_40_17.pdf|story1_124_12_1_8_40_17.pdf|true;/isxportal/files/story1_124_12_1_8_40_17.pdf|story1_124_12_1_8_40_17.pdf|true
23/12/2024,08:19,إفصاح النسب المؤثرة لشركة مصرف نور العراق الاسلامي,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15769&type=1,BINI,false,/isxportal/files/story0_124_12_1_8_19_28.pdf|story0_124_12_1_8_19_28.pdf|true;/isxportal/files/story0_124_12_1_8_19_28.pdf|story0_124_12_1_8_19_28.pdf|true
23/12/2024,07:30,اعلان- الشركة العراقية لانتاج وتسويق اللحوم - ايقاف توزيع الارباح للمساهمين,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15768&type=1,AIPM,false,/isxportal/files/story0_124_12_1_7_30_22.pdf|story0_124_12_1_7_30_22.pdf|true;/isxportal/files/story0_124_12_1_7_30_22.pdf|story0_124_12_1_7_30_22.pdf|true
22/12/2024,11:14,افصاح- اشعار بالموافقة على مساهمة بين بنك الصفوة الاسلامي والمصرف العراقي الاسلامي,http://www.isx-iq.net/isxportal/portal/storyDetails.html?storyId=15767&type=1,BIIB,false,/isxportal/files/story0_124_12_0_11_14_41.pdf|story0_124_12_0_11_14_41.pdf|true;/isxportal/files/story0_124_12_0_11_14_41.pdf|story0_124_12_0_11_14_41.pdf|true
22/12/2024,09:16,التقرير الاسبوعي لسوق العراق للاوراق المالية للفترة من 15-19 كانون الاول 2024,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15766,,false,/isxportal/files/story0_124_12_0_9_16_35.pdf|story0_124_12_0_9_16_35.pdf|true;/isxportal/files/story0_124_12_0_9_16_35.pdf|story0_124_12_0_9_16_35.pdf|true
19/12/2024,11:12,سيعقد إجتماع الهيئة العامة لشركة الخاتم الاتصالات في يوم الاثنين الموافق 2025/1/20,http://www.isx-iq.net/isxportal/portal/storyDetails.html?type=2&storyId=15764,TZNI,false,/isxportal/files/story0_124_12_4_11_12_53.pdf|story0_124_12_4_11_12_53.pdf|true;/isxportal/files/story0_124_12_4_11_12_53.pdf|story0_124_12_4_11_12_53.pdf|true;/isxportal/files/story1_124_12_4_11_12_53.pdf|story1_124_12_4_11_12_53.pdf|true;/isxportal/files/story1_124_12_4_11_12_53.pdf|story1_124_12_4_11_12_53.pdf|true
